	idx	natural_length	frequencies	natural	fcfs	caplan	caplan_low_temperature	fcfs_length	caplan_length	caplan_low_temperature_length
0	0	4	54	acid	survine	suipiae	survine	7	7	7
1	1	4	73	rain	sita	kvtw	sita	4	4	4
2	2	7	17	damages	convertine	colvitkwugsoparn	convertine	10	16	10
3	3	9	126	buildings	sentered	siwn	sentered	8	4	8
4	4	3	22133	and	spectric	igva	spectric	8	4	8
5	5	5	230	makes	sulfuge	oxlnt	sulfuge	7	5	7
6	6	5	52	lakes	continence	jtwnbni	continence	10	7	10
7	7	6	35	unable	colonia	eclowmesimltyeou	colonia	7	16	7
8	8	2	16684	to	corperated	kyrpnti	corperated	10	7	10
9	9	7	181	support	diamander	dravacrar	diamander	9	9	9
10	10	6	70	marine	composed	mf	composed	8	2	8
11	11	4	493	life	secority	hn	secority	8	2	8
12	12	5	2204	which	simitals	fkctqrusew	simitals	8	10	8
13	13	6	96	causes	rie	riwrigiazels	rie	3	12	3
14	14	4	146	fish	charical	j	charical	8	1	8
15	15	5	522	water	canton	ub	canton	6	2	6
16	16	6	192	plants	advance	adcfravt	advance	7	8	7
17	17	3	96	die	manus	nt	manus	5	2	5
18	18	4	1472	some	religions	reu	religions	9	3	9
19	19	7	2	lichens	satelect	gl	satelect	8	2	8
20	20	4	326	just	bonds	xohihodyoxthartilsty	bonds	5	20	5
21	21	5	69	break	with	wwiluieckify	with	4	12	4
22	22	2	1062	up	chames	anwbesligget	chames	6	12	6
23	23	4	1138	into	grands	gezagcvedeow	grands	6	12	6
24	24	9	12	fragments	seconase	seexhqseeopbypellfian	seconase	8	21	8
25	25	4	1656	when	reservation	rk	reservation	11	2	11
26	26	4	3846	they	real	lpaqfau	real	4	7	4
27	27	3	60	dry	steman	rgimarued	steman	6	9	6
28	28	7	124	private	sits	diesiagely	sits	4	10	4
29	29	7	1	hajiros	reserve	runl	reserve	7	4	7
30	30	13	25	extraordinary	survey	wxldyfaacng	survey	6	11	6
31	31	7	11	heroism	communition	qveoultrokibshizey	communition	11	18	11
32	32	8	9	devotion	christing	dnr	christing	9	3	9
33	33	4	34	duty	seveler	vevclairiyndve	seveler	7	14	7
34	34	3	5305	are	terman	enxgalphy	terman	6	9	6
35	35	2	22660	in	counted	xmqtftuumnytld	counted	7	14	7
36	36	7	36	keeping	signing	gignbboalmstn	signing	7	13	7
37	37	4	5151	with	fincher	frio	fincher	7	4	7
38	38	3	59191	the	sath	skehmonwix	sath	4	10	4
39	39	7	150	highest	binder	bith	binder	6	4	6
40	40	10	26	traditions	color	kicks	color	5	5	5
41	41	2	26919	of	server	sSOSblwarmemolutyer	server	6	19	6
42	42	8	213	military	dellicer	d	dellicer	8	1	8
43	43	7	202	service	marshal	mwzsiqtinogis	marshal	7	13	7
44	44	7	12	reflect	decend	dudpvysprie	decend	6	11	6
45	45	5	411	great	sending	oxweidsoyc	sending	7	10	7
46	46	6	26	credit	surpease	quipsaccjbts	surpease	8	12	8
47	47	4	96	upon	paral	pllalboualhogupba	paral	5	17	5
48	48	3	819	him	attendations	ublfzfh	attendations	12	7	12
49	49	3	3682	his	prince	nbubcckclyiagy	prince	6	14	6
50	50	4	67	unit	reach	ruaSOSfcey	reach	5	10	5
51	51	6	1212	united	camber	SOStoSOSfrefowmawsia	camber	6	20	6
52	52	6	1022	states	compacted	cfva	compacted	9	4	9
53	53	4	325	army	same	uzrecase	same	4	8	4
54	54	4	99	turn	carry	gaaiywariqdnim	carry	5	14	5
55	55	3	9980	was	bellowed	bespouufutyatin	bellowed	8	15	8
56	56	5	450	named	amosticle	xivljiqutb	amosticle	9	10	9
57	57	7	2	sheares	standle	owdvelnor	standle	7	9	7
58	58	5	1728	after	invention	iaqlokf	invention	9	7	9
59	59	8	41	benjamin	fartion	fgezfooleucg	fartion	7	12	7
60	60	5	192	henry	station	jantimeyyo	station	7	10	7
61	61	6	619	second	stave	q	stave	5	1	5
62	62	9	453	president	revolutionary	wqwojjqm	revolutionary	13	8	13
63	63	9	59	singapore	edities	ecxujescayri	edities	7	12	7
64	64	3	1696	new	sacrey	g	sacrey	6	1	6
65	65	6	106	jersey	subsen	fuzebtella	subsen	6	10	6
66	66	5	144	peter	pie	piekrined	pie	3	9	3
67	67	9	3	whitehead	fail	yadfigc	fail	4	7	4
68	68	8	1	yevgeniy	electric	elln	electric	8	4	8
69	69	8	1	boldygin	mathera	mct	mathera	7	3	7
70	70	2	6590	it	community	k	community	9	1	9
71	71	2	12525	is	short	sqoySOSoifksticslywpz	short	5	21	5
72	72	5	61	clear	massett	mts	massett	7	3	7
73	73	4	5599	that	lock	lfroalham	lock	4	9	4
74	74	1	18680	a	seted	hedeymce	seted	5	8	5
75	75	5	633	group	bearlies	jeSOSrsube	bearlies	8	10	8
76	76	6	9	henrys	composite	uxia	composite	9	4	9
77	77	8	4	advisors	thermas	ldmattscp	thermas	7	9	7
78	78	4	2779	were	comperity	wcagrifins	comperity	9	10	9
79	79	5	1886	there	strangers	skcpurgslup	strangers	9	11	9
80	80	4	287	help	balks	ungkv	balks	5	5	5
81	81	4	547	both	carlo	uncqabvamylanenlk	carlo	5	17	5
82	82	7	13	matilda	exists	ewegoson	exists	6	8	6
83	83	7	233	william	brandon	btvtooenklo	brandon	7	11	7
84	84	8	14	paternal	annames	abhadmsfynd	annames	7	11	7
85	85	11	25	grandmother	servies	kzhbilyosdrgvaryouigi	servies	7	21	7
86	86	6	10	sophia	computine	vockchinusfcfyed	computine	9	16	9
87	87	8	3	dorothea	export	zp	export	6	2	6
88	88	5	5	celle	alliew	kwyjnlikkordafagrsuzouxpxis	alliew	6	27	6
89	89	7	1	mokhtar	span	qprgimer	span	4	8	4
90	90	10	1	nourafshan	samon	bawna	samon	5	5	5
91	91	1	240	l	chargest	nneckaiesverery	chargest	8	15	8
92	92	1	214	g	sandrooge	wl	sandrooge	9	2	9
93	93	10	7	karachkina	proniminity	polnwhdthjkgomoadlyzsex	proniminity	11	23	11
94	94	8	22	overseas	carrient	o	carrient	8	1	8
95	95	11	40	departments	perso	pecds	perso	5	5	5
96	96	6	321	france	murth	zu	murth	5	2	5
97	97	8	35	inspired	shark	thtvkn	shark	5	6	5
98	98	2	5137	by	offection	ozrusible	offection	9	9	9
99	99	7	28	abraham	grade	gbyevothvylsto	grade	5	14	5
100	100	8	10	lincolns	formed	feftsiys	formed	6	8	6
101	101	7	28	funeral	scholitical	ocmmazinazr	scholitical	11	11	11
102	102	8	1	hluhluwe	bong	koxjueuhgonswyl	bong	4	15	4
103	103	3	33	dam	anchitamical	onl	anchitamical	12	3	12
104	104	4	248	lake	resence	ruulhighli	resence	7	10	7
105	105	2	332	st	tale	tkaxua	tale	4	6	4
106	106	5	11	lucia	particy	pwutauxtfg	particy	7	10	7
107	107	2	3776	at	hostone	hocnocdla	hostone	7	9	7
108	108	5	2158	first	macharl	mhcharl	macharl	7	7	7
109	109	2	6377	he	flight	fliowftedpis	flight	6	12	6
110	110	5	215	lived	recording	ryo	recording	9	3	9
111	111	6	245	mother	alton	veeo	alton	5	4	5
112	112	9	19	colorless	subsurvey	swas	subsurvey	9	4	9
113	113	3	102	gas	wows	xowdedfgourlibrugri	wows	4	19	4
114	114	5	2	moldy	sarting	zsogngzuneanstrylaseh	sarting	7	21	7
115	115	6	2	stinky	stead	jrgudwipuu	stead	5	10	5
116	116	4	5	odor	operation	ohzti	operation	9	5	9
117	117	9	14	christine	sexure	ge	sexure	6	2	6
118	118	4	802	born	forthen	fdbw	forthen	7	4	7
119	119	6	7	palais	delivers	dylipfizme	delivers	8	10	8
120	120	2	57	du	survives	buripsare	survives	8	9	8
121	121	6	13	louvre	organish	ogablelciktky	organish	8	13	8
122	122	5	123	paris	specient	sprijduga	specient	8	9	8
123	123	5	303	third	berth	fer	berth	5	3	5
124	124	5	206	child	arrian	iiagasmrinyboadesm	arrian	6	18	6
125	125	4	485	king	wearl	wevyzp	wearl	5	6	5
126	126	2	67	iv	poolic	vo	poolic	6	2	6
127	127	4	172	wife	mouse	mp	mouse	5	2	5
128	128	5	61	marie	sainth	paihtouritydyd	sainth	6	14	6
129	129	2	522	de	batter	dieqhnderlysntl	batter	6	15	6
130	130	6	5	medici	sears	skf	sears	5	3	5
131	131	4	2	hush	surch	mdrualestxy	surch	5	11	5
132	132	6	1	kuniva	india	koap	india	5	4	5
133	133	6	1	swifty	national	naxlledm	national	8	8	8
134	134	5	1	mcvay	survive	eyndric	survive	7	7	7
135	135	6	7	advent	telescoped	vtizfckremlistoqgwigx	telescoped	10	21	10
136	136	5	809	state	promisters	pih	promisters	10	3	10
137	137	9	14	sponsored	reservate	coql	community	9	4	9
